d,n_per_pair,seed,threshold,n_true,n_discovered,tp,fp,fn,precision,recall,f1,disc_rmse,oracle_rmse,rmse_ratio
40,240,4,0.005,20,40,20,20,0,0.5,1.0,0.6666666666666666,0.006253711631273306,0.0050925280500057155,1.2280171203507237
40,240,4,0.01,20,20,20,0,0,1.0,1.0,1.0,0.0050925280500147135,0.0050925280500057155,1.0000000000017668
40,240,4,0.02,20,20,20,0,0,1.0,1.0,1.0,0.0050925280500147135,0.0050925280500057155,1.0000000000017668
40,240,4,0.05,20,11,11,0,9,1.0,0.55,0.7096774193548387,0.14228877896010192,0.0050925280500057155,27.940696165619006
40,480,0,0.005,20,20,20,0,0,1.0,1.0,1.0,0.0041723012816517815,0.004172301281659756,0.9999999999980888
40,480,0,0.01,20,20,20,0,0,1.0,1.0,1.0,0.0041723012816517815,0.004172301281659756,0.9999999999980888
40,480,0,0.02,20,20,20,0,0,1.0,1.0,1.0,0.0041723012816517815,0.004172301281659756,0.9999999999980888
40,480,0,0.05,20,11,11,0,9,1.0,0.55,0.7096774193548387,0.13920951449934188,0.004172301281659756,33.36516351569986
40,480,1,0.005,20,20,20,0,0,1.0,1.0,1.0,0.00412301094338623,0.004123010943386046,1.0000000000000446
40,480,1,0.01,20,20,20,0,0,1.0,1.0,1.0,0.00412301094338623,0.004123010943386046,1.0000000000000446
40,480,1,0.02,20,20,20,0,0,1.0,1.0,1.0,0.00412301094338623,0.004123010943386046,1.0000000000000446
40,480,1,0.05,20,9,9,0,11,1.0,0.45,0.6206896551724138,0.1398046881478177,0.004123010943386046,33.90839608904902
40,480,2,0.005,20,20,20,0,0,1.0,1.0,1.0,0.004213420503797775,0.004213420503800018,0.9999999999994676
40,480,2,0.01,20,20,20,0,0,1.0,1.0,1.0,0.004213420503797775,0.004213420503800018,0.9999999999994676
40,480,2,0.02,20,20,20,0,0,1.0,1.0,1.0,0.004213420503797775,0.004213420503800018,0.9999999999994676
40,480,2,0.05,20,10,10,0,10,1.0,0.5,0.6666666666666666,0.1458794279726197,0.004213420503800018,34.622565642582636
40,480,3,0.005,20,20,20,0,0,1.0,1.0,1.0,0.00412604437600489,0.00412604437600827,0.9999999999991808
40,480,3,0.01,20,20,20,0,0,1.0,1.0,1.0,0.00412604437600489,0.00412604437600827,0.9999999999991808
40,480,3,0.02,20,20,20,0,0,1.0,1.0,1.0,0.00412604437600489,0.00412604437600827,0.9999999999991808
40,480,3,0.05,20,9,9,0,11,1.0,0.45,0.6206896551724138,0.14351716676652712,0.00412604437600827,34.78323393733646
40,480,4,0.005,20,20,20,0,0,1.0,1.0,1.0,0.004164449048350155,0.004164449048348973,1.0000000000002838
40,480,4,0.01,20,20,20,0,0,1.0,1.0,1.0,0.004164449048350155,0.004164449048348973,1.0000000000002838
